Meter Number,Facility,Start Date,End Date,Usage (kWh),Cost
MTR-BLR-001,Bangalore HQ Office,2024-01-15,2024-02-14,14200,106500
MTR-BLR-001,Bangalore HQ Office,2024-02-15,2024-03-15,13800,103500
MTR-BLR-001,Bangalore HQ Office,2024-03-16,2024-04-14,15100,113250
MTR-BLR-002,Bangalore Factory Floor 1,2024-01-15,2024-02-14,82500,618750
MTR-BLR-002,Bangalore Factory Floor 1,2024-02-15,2024-03-15,79200,594000
MTR-BLR-002,Bangalore Factory Floor 1,2024-03-16,2024-04-14,88000,660000
MTR-BLR-002,Bangalore Factory Floor 1,2024-04-15,2024-05-14,91500,686250
MTR-PNQ-001,Pune Office,2024-01-10,2024-02-09,9800,73500
MTR-PNQ-001,Pune Office,2024-02-10,2024-03-11,10200,76500
MTR-PNQ-001,Pune Office,2024-03-12,2024-04-10,9500,71250
MTR-PNQ-001,Pune Office,2024-04-11,2024-05-10,11000,82500
